SuperBuiltUp Area,Area,Carpet Area,Price,FloorNumber,Parking,Furnishing,Location,Flooring,Bathrooms,Bedrooms,Balconies,Property
1200,1000,840,650,12,2,Furnished,Cuffe Parade,Marble,2,2,0,Residential Apartment
650,,,72,5,1,Furnished,Airoli,Ceramic,1,1,1,Residential Apartment
955,760,600,68,5,1,Unfurnished,Mira Road East,Vitrified,2,2,3,Residential Apartment
1200,1127,700,85,3,1,,Khadakpada,Vitrified,2,2,3,Residential Apartment
1705,,,191,8,1,Unfurnished,Sector 15 Kharghar,Vitrified,3,3,3,Residential Apartment
1015,1000,620,76.99,10,1,,Sector 10 Kharghar,Vitrified,2,2,3,Residential Apartment
1250,1150,750,87,7,1,,Sector 10 Kharghar,Vitrified,2,2,3,Residential Apartment
,1035,600,145,12,1,,Nehru Nagar,,2,2,0,Residential Apartment
,650,,69,3,1,Semifurnished,Airoli,Ceramic,2,1,1,Residential Apartment
1024,1000,700,280,15,1,Unfurnished,Lokhandwala,Marble,2,2,0,Residential Apartment
,1820,,500,6,1,Furnished,Anand Nagar,Vitrified,3,3,3,Residential Apartment
1015,,619,127,19,1,Unfurnished,Jankalyan Nagar,Vitrified,2,2,3,Residential Apartment
1060,,,144,7,1,Unfurnished,Sector-30 Vashi,Vitrified,2,2,3,Residential Apartment
1135,800,700,121,8,1,,Sector 10 Kharghar,,2,2,2,Residential Apartment
875,,835,190,15,1,Unfurnished,Goregaon (West),,2,2,0,Residential Apartment
1550,1500,1100,490,15,2,Unfurnished,Lokhandwala,Marble,3,3,0,Residential Apartment
1120,,,105,6,1,Furnished,Sector 35I Kharghar,,2,2,1,Residential Apartment
750,,458,85,15,1,Unfurnished,Jankalyan Nagar,Vitrified,2,1,2,Residential Apartment
1270,1120,970,165,7,1,Unfurnished,Sector-6 Nerul,Vitrified,2,2,3,Residential Apartment
,,535,170,5,1,Unfurnished,Azad Nagar,,2,2,0,Residential Apartment
865,,,82,8,1,Unfurnished,Hiranandani Estate,,2,2,2,Residential Apartment
1350,,969,150,18,1,Semifurnished,kavesar,Vitrified,3,3,3,Residential Apartment
,1230,,142,5,,,Brahmand,,2,2,2,Residential Apartment
1050,990,,59,3,1,,Sector 23 Ulwe,Vitrified,2,2,3,Residential Apartment
650,,415,34.75,3,1,,Sector 23 Ulwe,Vitrified,1,1,3,Residential Apartment
700,680,520,38.99,1,1,,Sector 23 Ulwe,Vitrified,2,1,3,Residential Apartment
,1300,,210,18,1,Semifurnished,Sector-17 Sanpada,Vitrified,2,2,1,Residential Apartment
1050,,,95,3,1,Unfurnished,Kharghar,Vitrified,2,2,2,Residential Apartment
650,584,450,135,1,1,Semifurnished,Vakola,Mosaic,2,1,0,Residential Apartment
1200,1155,750,82,2,1,Unfurnished,Sector-18 Ulwe,Vitrified,2,2,2,Residential Apartment
950,807,665,74,1,3,Unfurnished,Mira Road East,Vitrified,2,2,3,Residential Apartment
1250,1050,700,120,11,1,,kavesar,Vitrified,2,2,1,Residential Apartment
650,,,46.8,7,1,,Mira Road East,,1,1,3,Residential Apartment
685,,440,24.39,9,1,Semifurnished,Virar West,Vitrified,2,1,2,Residential Apartment
700,,410,80,12,1,,Jankalyan Nagar,Vitrified,2,1,2,Residential Apartment
,600,450,15,4,,,Shelu Neral,Marble,1,1,1,Residential Apartment
,670,,65,6,1,,Balkum Pada,Vitrified,2,1,1,Residential Apartment
,,520,115,2,1,Unfurnished,Bangur Nagar,Vitrified,1,1,0,Residential Apartment
1280,1200,750,73,9,1,Unfurnished,Sector 19 Ulwe,Vitrified,2,2,2,Residential Apartment
,,265,45,,,,Kamgar Nagar,,1,1,0,Residential Apartment
1150,1120,700,228,8,1,,Chandivali,,2,2,2,Residential Apartment
740,720,,61,8,1,Furnished,Sector-35D Kharghar,Vitrified,1,1,2,Residential Apartment
500,430,380,22.75,2,,,Nilemore,,1,1,0,Residential Apartment
3605,,,430,24,3,Unfurnished,Ghansoli,Marble,4,4,3,Residential Apartment
1665,1082,999,135,19,1,Unfurnished,Mira Road East,Vitrified,3,4,3,Residential Apartment
829,,610,72,12,2,Unfurnished,Hiranandani Estate,Vitrified,2,1,2,Residential Apartment
770,,,74,6,1,,Kasar vadavali,,2,2,3,Residential Apartment
,1050,,75,16,1,Unfurnished,Kalyan (East),Vitrified,2,2,3,Residential Apartment
,850,,105,7,1,,Hanuman Nagar,,2,2,0,Residential Apartment
650,600,380,68,3,1,Semifurnished,Sector-14 Koparkhairane,Vitrified,1,1,1,Residential Apartment
700,,485,28,7,1,Unfurnished,Bhiwandi,,1,1,2,Residential Apartment
1160,,731,175,17,1,Unfurnished,Majas Wadi,Vitrified,2,2,2,Residential Apartment
1225,,,105,10,1,Unfurnished,Kharghar,Marble,2,2,1,Residential Apartment
634,,416,28.53,6,1,Semifurnished,Virar West,Vitrified,2,1,2,Residential Apartment
,635,,24,4,1,Unfurnished,Virar West,,2,1,2,Residential Apartment
585,,420,45,2,1,Semifurnished,Balkum,Vitrified,1,1,0,Residential Apartment
580,,,20.21,5,1,Furnished,Nalasopara (West),Vitrified,2,1,3,Residential Apartment
540,470,370,20,,,Furnished,Nalasopara East,Cement,1,1,0,Residential Apartment
,2160,1382,300,7,1,Semifurnished,Mulund (West),Vitrified,4,4,2,Residential Apartment
655,524,425,54,4,1,Unfurnished,ay Nagar,Vitrified,1,1,3,Residential Apartment
686,582,445,51.45,6,5,Furnished,Mira Road East,Vitrified,2,1,2,Residential Apartment
,1500,1215,250,5,1,Semifurnished,Mulund (West),Vitrified,2,3,1,Residential Apartment
670,650,409,125,9,1,Unfurnished,Cama Industrial Estate,Vitrified,2,1,0,Residential Apartment
2200,2100,1400,500,10,1,Semifurnished,Chembur,Vitrified,4,4,3,Residential Apartment
645,,435,24.51,7,1,Semifurnished,Virar West,Vitrified,2,1,1,Residential Apartment
1065,,,99,3,1,Unfurnished,Kharghar,Ceramic,2,2,3,Residential Apartment
2133,,,295,22,2,Semifurnished,Sector-10A Airoli,Ceramic,4,3,2,Residential Apartment
1241,,905,123,13,2,Unfurnished,Hiranandani Estate,Vitrified,3,3,2,Residential Apartment
,,700,72,16,1,Semifurnished,Anjurdive,,2,2,0,Residential Apartment
650,,,66,3,,Semifurnished,Sector 8 Airoli,,1,1,0,Residential Apartment
,,590,240,4,2,,Juhu Koliwada,Vitrified,2,2,3,Residential Apartment
,610,,58,1,1,,Dombivli (West),,1,1,0,Residential Apartment
2400,2150,1700,280,2,1,Furnished,Sanpada,Ceramic,3,3,3,Residential Apartment
1165,1100,750,69.5,9,1,,Sector 23 Ulwe,Vitrified,2,2,2,Residential Apartment
700,,480,19,7,1,,Shirgaon,Vitrified,1,1,2,Residential Apartment
1000,750,600,65,7,,Unfurnished,Sector 19 Kamothe,Vitrified,2,2,2,Residential Apartment
630,600,430,48,5,1,Unfurnished,Sector-34A Kharghar,Vitrified,1,1,2,Residential Apartment
,,350,15,3,,,Trombay Koliwada,,1,1,0,Independent House/Villa
650,550,454,69.66,4,1,Unfurnished,Majiwada,Vitrified,2,1,0,Residential Apartment
1569,1469,1046,310,6,1,Semifurnished,Ghatkopar West,Vitrified,2,2,2,Residential Apartment
3010,,1865,450,6,1,Semifurnished,Mulund (West),Vitrified,4,4,3,Residential Apartment
2500,,,210,28,1,Unfurnished,Sector-35E Kharghar,Vitrified,3,3,3,Residential Apartment
670,500,400,42,4,,,Ulwe,Vitrified,1,1,2,Residential Apartment
745,,485,23.85,3,,Semifurnished,Palghar,Vitrified,2,2,3,Residential Apartment
2400,2300,1600,550,5,1,Semifurnished,Chembur,Vitrified,4,4,3,Residential Apartment
1850,1800,1300,159,12,1,,Sector-8 Kharghar,Vitrified,3,3,3,Residential Apartment
485,,,24,3,1,Semifurnished,Nalasopara (West),Vitrified,1,1,1,Residential Apartment
1290,1200,870,145,9,1,Unfurnished,kavesar,,2,2,1,Residential Apartment
990,900,800,98,10,1,Unfurnished,Sector 3 Kharghar,Vitrified,2,2,2,Residential Apartment
